incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own
1,0,2,223,3,1,1,1,216,19,3,2,2,0,0,0,1,8,1,2,1,0,1,1,0,0,0,0,0,0,0.6666666865348816
0,1,4,216,3,0.3333333432674408,1,1,225,20,2,2,2,0,0,0,0,3,0,4,1,0,1,0,0,0,1,1,0,0,0
0,1,6,275,3,0,1,0,280,25,3,2,2,-1,0,1,1,1,1,6,1,0,1,0,1,0,0,0,1,0,0
0,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816
0,1,8,85,3,0.3333333432674408,0,0,87,7,3,3,2,0,0,0,1,3,1,8,0,1,1,0,1,1,0,0,0,0,0.3333333432674408
1,0,0,223,3,1,1,1,216,19,3,3,2,0,0,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,0.6666666865348816
1,1,5,16,3,1,0,0,27,3,3,3,2,0,0,0,1,7,1,5,0,1,1,0,1,0,1,1,1,1,1
0,1,4,71,3,0.3333333432674408,1,1,66,6,3,3,3,0,0,0,1,3,1,4,0,1,0,0,0,0,0,0,0,0,0.3333333432674408
1,1,5,16,3,1,0,0,27,3,3,3,2,0,0,0,1,7,1,5,0,1,1,0,1,0,1,1,0,0,1
1,0,8,106,3,1,1,1,121,10,2,3,2,0,0,0,0,8,0,8,0,1,1,1,1,0,1,1,0,0,1
0,0,8,81,3,0.3333333432674408,1,1,85,7,2,2,2,0,0,0,0,5,0,8,1,0,1,1,1,0,1,1,0,0,0.3333333432674408
0,1,8,159,3,0.6666666865348816,0,0,159,14,2,2,2,0,0,0,0,3,0,8,1,0,1,0,1,0,1,1,1,0,0.6666666865348816
0,0,7,70,3,0.3333333432674408,1,1,80,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,1,0,0,0,0,0.3333333432674408
1,0,7,70,3,0.3333333432674408,1,1,80,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,1,0,0,0,0,0.3333333432674408
0,0,7,79,3,0,0,1,84,7,2,3,2,1,1,0,0,2,0,7,0,1,1,1,1,0,1,0,0,0,0
0,1,7,275,3,0,0,0,280,25,2,2,2,0,0,0,0,1,0,7,1,0,1,0,1,0,0,0,0,0,0
1,1,8,85,3,0.3333333432674408,1,1,87,7,3,2,2,0,0,0,1,4,1,8,1,0,1,0,1,1,0,0,0,0,0.3333333432674408
0,1,4,275,3,0,1,1,280,25,2,3,2,0,0,0,0,1,0,4,0,1,1,0,0,1,0,0,0,0,0
1,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816
1,0,8,106,3,1,1,1,121,10,2,3,2,0,0,0,0,8,0,8,0,1,1,1,1,0,1,1,0,0,1
1,0,8,106,3,1,1,1,121,10,2,3,4,0,0,0,0,8,0,8,0,1,0,1,1,0,1,1,0,0,1
0,1,3,88,3,0.3333333432674408,1,1,75,6,3,3,2,0,0,0,1,3,1,3,0,1,1,0,0,1,0,0,0,0,0.3333333432674408
1,1,4,71,3,0.3333333432674408,1,1,66,6,3,6,3,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0.3333333432674408
0,0,6,188,3,0,0,0,202,18,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,0,0,0,0,0
1,0,3,223,3,1,0,0,216,19,2,3,2,0,0,0,0,8,0,3,0,1,1,1,0,0,0,0,0,0,0.3333333432674408
1,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816
0,0,8,81,3,0.3333333432674408,1,1,85,7,3,3,2,0,0,0,1,5,1,8,0,1,1,1,1,0,1,1,1,0,0
0,0,999,79,3,0,0,1,84,7,1,1,1,1,1,0,999,2,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
0,1,3,88,3,0.3333333432674408,1,1,75,6,3,2,3,0,0,0,1,3,1,3,1,0,0,0,0,1,0,0,0,0,0.3333333432674408
0,0,999,70,3,0.3333333432674408,1,1,80,7,1,1,1,0,0,0,999,5,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
1,1,3,88,3,0.3333333432674408,0,0,75,6,3,6,3,0,0,0,1,4,1,3,0,0,0,0,0,1,0,0,0,0,0.3333333432674408
0,0,6,188,3,0,1,1,202,18,2,3,2,0,0,0,0,2,0,6,0,1,1,1,1,0,0,0,1,0,0
0,1,8,85,3,0.3333333432674408,0,0,87,7,3,6,2,0,0,0,1,3,1,8,0,0,1,0,1,1,0,0,0,0,0.3333333432674408
0,1,4,71,3,0.3333333432674408,1,1,66,6,3,2,4,0,0,0,1,3,1,4,1,0,0,0,0,0,1,1,0,0,0.3333333432674408
1,1,5,16,3,1,0,0,27,3,3,3,2,0,0,0,1,7,1,5,0,1,1,0,1,0,1,1,1,1,1
1,1,8,159,3,0.6666666865348816,1,1,159,14,2,2,2,0,0,0,0,4,0,8,1,0,1,0,1,1,0,0,0,0,0.6666666865348816
1,1,4,216,3,0.3333333432674408,1,1,225,20,3,2,2,0,0,0,1,4,1,4,1,0,1,0,0,0,1,0,0,0,0.3333333432674408
0,1,4,216,3,0.3333333432674408,1,1,225,20,3,2,3,0,0,0,1,3,1,4,1,0,0,0,0,0,1,1,1,1,0.3333333432674408
0,0,7,79,3,0,1,1,84,7,2,3,2,0,0,0,0,2,0,7,0,1,1,1,1,0,1,0,0,0,0
1,0,8,81,3,0.3333333432674408,1,0,85,7,2,2,3,-1,0,1,0,6,0,8,1,0,0,1,1,0,1,0,1,1,0.3333333432674408
1,1,8,159,3,0.6666666865348816,1,1,159,14,2,2,2,0,0,0,0,4,0,8,1,0,1,0,1,0,1,0,1,1,0.6666666865348816
0,0,999,188,3,0,0,0,202,18,1,1,1,0,0,0,999,2,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
0,1,5,174,4,0.25,1,1,177,15,3,2,2,0,0,0,1,3,1,5,1,0,1,0,1,0,0,0,0,0,0
1,0,1,17,4,1,1,1,3,1,2,3,2,0,0,0,0,8,0,1,0,1,1,1,0,0,1,1,1,1,0.75
1,0,2,80,4,1,0,0,71,6,3,3,3,0,0,0,1,8,1,2,0,1,0,1,0,1,0,0,0,0,0.75
0,0,5,253,4,0,0,0,263,24,2,3,2,0,0,0,0,2,0,5,0,1,1,1,1,0,1,0,0,0,0
0,0,1,27,4,0.5,1,1,7,1,2,3,2,0,0,0,0,5,0,1,0,1,1,1,0,0,1,1,0,0,0.5
1,1,4,282,4,1,0,0,282,25,3,3,2,0,0,0,1,7,1,4,0,1,1,0,0,0,0,0,0,0,0.5
0,1,6,246,4,0,0,0,260,24,2,3,2,0,0,0,0,1,0,6,0,1,1,0,1,0,1,0,0,0,0
0,0,6,89,4,0,0,0,89,7,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,0,0,0
0,1,1,269,4,0.25,1,1,253,23,3,2,2,0,0,0,1,3,1,1,1,0,1,0,0,1,0,0,0,0,0
1,0,0,256,4,1,1,1,241,22,2,2,2,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,2,80,4,1,1,1,71,6,3,3,2,0,0,0,1,8,1,2,0,1,1,1,0,1,0,0,0,0,0.75
1,1,6,114,4,1,0,0,124,10,3,2,2,0,0,0,1,7,1,6,1,0,1,0,1,0,1,1,1,1,1
1,1,7,120,4,1,1,1,126,10,3,3,2,0,0,0,1,7,1,7,0,1,1,0,1,1,0,0,0,0,1
1,1,2,41,4,0.5,1,1,39,4,2,3,2,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0.25
1,0,0,256,4,1,0,0,241,22,2,2,2,0,0,0,0,8,0,0,1,0,1,1,0,1,0,0,0,0,1
1,1,7,56,4,0.5,1,1,58,5,3,3,2,0,0,0,1,4,1,7,0,1,1,0,1,1,0,0,0,0,0.5
1,1,1,269,4,0.25,1,1,253,23,2,3,2,0,0,0,0,4,0,1,0,1,1,0,0,0,1,0,0,0,0.25
0,0,999,112,4,0.5,0,0,97,8,1,1,1,0,0,0,999,5,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
0,0,2,189,4,0,0,0,186,16,3,3,2,0,0,0,1,2,1,2,0,1,1,1,0,1,0,0,0,0,0
1,0,2,80,4,1,1,1,71,6,2,3,2,0,0,0,0,8,0,2,0,1,1,1,0,1,0,0,0,0,0.25
0,1,1,269,4,0.25,1,1,253,23,3,3,2,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0
1,1,3,262,4,0.5,1,1,249,23,2,3,2,0,0,0,0,4,0,3,0,1,1,0,0,0,1,0,1,0,0.5
1,1,5,174,4,0.25,1,1,177,15,2,2,2,0,0,0,0,4,0,5,1,0,1,0,1,1,0,0,0,0,0.25
0,0,5,123,4,0.25,1,1,114,9,2,3,4,0,0,0,0,5,0,5,0,1,0,1,1,0,1,1,1,0,0.25
0,0,4,268,4,0,1,1,266,24,2,3,2,0,0,0,0,2,0,4,0,1,1,1,0,1,0,0,0,0,0
1,1,4,282,4,1,0,0,282,25,2,3,2,0,0,0,0,7,0,4,0,1,1,0,0,0,0,0,1,1,0.5
1,0,0,20,4,1,0,0,4,1,3,3,2,0,0,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,0.25
1,0,4,4,4,1,0,0,21,3,2,3,2,0,0,0,0,8,0,4,0,1,1,1,0,1,0,0,0,0,1
0,1,6,246,4,0,0,1,260,24,2,3,2,1,1,0,0,1,0,6,0,1,1,0,1,0,1,0,1,0,0
0,0,6,89,4,0,0,0,89,7,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,0,0,0,0,0
0,1,3,262,4,0.5,1,1,249,23,2,3,2,0,0,0,0,3,0,3,0,1,1,0,0,0,1,1,1,1,0.5
0,0,6,90,4,0,0,0,90,7,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,1,0,0,0,0
0,0,7,63,4,0.25,1,0,77,7,2,3,3,-1,0,1,0,5,0,7,0,1,0,1,1,0,0,0,0,0,0
0,0,999,112,4,0.5,1,1,97,8,1,1,1,0,0,0,999,5,NA,NA,0,0,0,1,NA,1,0,0,0,0,NA
1,1,6,114,4,1,1,1,124,10,3,2,2,0,0,0,1,7,1,6,1,0,1,0,1,0,1,1,1,1,1
0,0,2,189,4,0,0,0,186,16,3,3,4,0,0,0,1,2,1,2,0,1,0,1,0,0,0,0,1,0,0
0,0,4,268,4,0,0,0,266,24,3,3,2,0,0,0,1,2,1,4,0,1,1,1,0,1,0,0,0,0,0
0,1,4,73,4,0.5,1,1,67,6,3,2,2,0,0,0,1,3,1,4,1,0,1,0,0,0,1,1,0,0,0.5
1,1,4,271,4,0.5,0,0,267,24,3,3,2,0,0,0,1,4,1,4,0,1,1,0,0,0,1,1,0,0,0.5
0,0,2,226,4,0,0,1,217,19,3,2,2,1,1,0,1,2,1,2,1,0,1,1,0,0,0,0,0,0,0
1,0,1,20,4,1,0,0,4,1,2,3,2,0,0,0,0,8,0,1,0,1,1,1,0,0,0,0,1,1,0.75
0,0,7,78,4,0,1,1,83,7,3,6,2,0,0,0,1,2,1,7,0,0,1,1,1,1,0,0,0,0,0
1,1,7,120,4,1,1,1,126,10,3,2,2,0,0,0,1,7,1,7,1,0,1,0,1,0,1,1,1,1,1
1,0,6,277,4,1,1,1,269,24,2,3,2,0,0,0,0,8,0,6,0,1,1,1,1,0,1,1,0,0,0.75
1,0,1,27,4,0.5,0,0,7,1,2,3,2,0,0,0,0,6,0,1,0,1,1,1,0,0,1,1,0,0,0.5
0,1,4,267,4,0,0,0,252,23,2,3,2,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0
1,1,3,251,4,1,1,1,262,24,3,3,2,0,0,0,1,7,1,3,0,1,1,0,0,1,0,0,0,0,1
1,1,3,3,4,1,0,1,11,2,2,3,2,1,1,0,0,7,0,3,0,1,1,0,0,0,1,1,1,1,1
0,0,7,63,4,0.25,0,0,77,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,1,0,0,0,0,0.25
0,1,2,41,4,0.5,0,0,39,4,2,3,4,0,0,0,0,3,0,2,0,1,0,0,0,0,1,1,1,0,0.25
1,1,5,251,4,1,1,0,262,24,3,2,2,-1,0,1,1,7,1,5,1,0,1,0,1,0,1,1,1,1,1
0,0,3,226,4,0,0,0,217,19,2,2,2,0,0,0,0,2,0,3,1,0,1,1,0,0,1,0,1,0,0
1,1,4,282,4,1,1,1,282,25,3,3,2,0,0,0,1,7,1,4,0,1,1,0,0,0,1,1,0,0,0.5
