incentive,private,grade,table,table_size,table_incentive_pr,grape,grape2,cluster,strata,sex,race,lunch,dg,sw,sc,male,group,sex_mf,grade_mod,black,hispanic,free,public,above_grade_median,nosurvey,dbestfriend,dbestfriend_i,dpopular,dpopular_i,tpr_own,Switched,Stayed
1,0,2,223,3,1,1,1,216,19,3,2,2,0,0,0,1,8,1,2,1,0,1,1,0,0,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
0,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,0,223,3,1,1,1,216,19,3,3,2,0,0,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,8,106,3,1,1,1,121,10,2,3,2,0,0,0,0,8,0,8,0,1,1,1,1,0,1,1,0,0,1,Not Changed,Stayed Grape
0,0,8,81,3,0.3333333432674408,1,1,85,7,2,2,2,0,0,0,0,5,0,8,1,0,1,1,1,0,1,1,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,7,70,3,0.3333333432674408,1,1,80,7,3,3,2,0,0,0,1,5,1,7,0,1,1,1,1,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
1,0,7,70,3,0.3333333432674408,1,1,80,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,1,0,0,0,0,0.3333333432674408,Not Changed,Stayed Grape
0,0,7,79,3,0,0,1,84,7,2,3,2,1,1,0,0,2,0,7,0,1,1,1,1,0,1,0,0,0,0,Cookie to Grape,Changed
1,0,7,62,3,0.6666666865348816,1,1,76,7,3,3,2,0,0,0,1,6,1,7,0,1,1,1,1,0,1,1,0,0,0.6666666865348816,Not Changed,Stayed Grape
1,0,8,106,3,1,1,1,121,10,2,3,2,0,0,0,0,8,0,8,0,1,1,1,1,0,1,1,0,0,1,Not Changed,Stayed Grape
1,0,8,106,3,1,1,1,121,10,2,3,4,0,0,0,0,8,0,8,0,1,0,1,1,0,1,1,0,0,1,Not Changed,Stayed Grape
0,0,6,188,3,0,0,0,202,18,3,3,2,0,0,0,1,2,1,6,0,1,1,1,1,0,0,0,0,0,0,Not Changed,Stayed Cookie
